YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION (Megawatthours)"
2019,1,MA,Total Electric Power Industry,Total,"2,383,090"
2019,1,MA,Total Electric Power Industry,Coal,0
2019,1,MA,Total Electric Power Industry,Pumped Storage,"-37,687"
2019,1,MA,Total Electric Power Industry,Hydroelectric Conventional,"113,416"
2019,1,MA,Total Electric Power Industry,Natural Gas,"1,554,410"
2019,1,MA,Total Electric Power Industry,Nuclear,"450,438"
2019,1,MA,Total Electric Power Industry,Other,"83,380"
2019,1,MA,Total Electric Power Industry,Petroleum,"40,290"
2019,1,MA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"63,723"
2019,1,MA,Total Electric Power Industry,Other Biomass,"83,028"
2019,1,MA,Total Electric Power Industry,Wind,"20,349"
2019,1,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,"11,743"
2019,1,MA,"Combined Heat and Power, Industrial Power",Total,"24,668"
2019,1,MA,"Combined Heat and Power, Industrial Power",Coal,0
2019,1,MA,"Combined Heat and Power, Industrial Power",Natural Gas,"23,486"
2019,1,MA,"Combined Heat and Power, Industrial Power",Other,0
2019,1,MA,"Combined Heat and Power, Industrial Power",Petroleum,730
2019,1,MA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,230
2019,1,MA,"Combined Heat and Power, Industrial Power",Wind,222
2019,1,MA,"Combined Heat and Power, Commercial Power",Total,"59,168"
2019,1,MA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,463
2019,1,MA,"Combined Heat and Power, Commercial Power",Natural Gas,"51,979"
2019,1,MA,"Combined Heat and Power, Commercial Power",Petroleum,"1,005"
2019,1,MA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,401
2019,1,MA,"Combined Heat and Power, Commercial Power",Other Biomass,"2,334"
2019,1,MA,"Combined Heat and Power, Commercial Power",Wind,"2,986"
2019,1,MA,"Combined Heat and Power, Electric Power",Total,"164,112"
2019,1,MA,"Combined Heat and Power, Electric Power",Natural Gas,"163,841"
2019,1,MA,"Combined Heat and Power, Electric Power",Petroleum,271
2019,1,MA,"Electric Generators, Independent Power Producers",Total,"2,089,797"
2019,1,MA,"Electric Generators, Independent Power Producers",Coal,0
2019,1,MA,"Electric Generators, Independent Power Producers",Pumped Storage,"-37,687"
2019,1,MA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"83,359"
2019,1,MA,"Electric Generators, Independent Power Producers",Natural Gas,"1,310,864"
2019,1,MA,"Electric Generators, Independent Power Producers",Nuclear,"450,438"
2019,1,MA,"Electric Generators, Independent Power Producers",Other,"83,380"
2019,1,MA,"Electric Generators, Independent Power Producers",Petroleum,"36,498"
2019,1,MA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"58,539"
2019,1,MA,"Electric Generators, Independent Power Producers",Other Biomass,"80,693"
2019,1,MA,"Electric Generators, Independent Power Producers",Wind,"11,970"
2019,1,MA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"11,743"
2019,1,MA,"Electric Generators, Electric Utilities",Total,"45,344"
2019,1,MA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"29,594"
2019,1,MA,"Electric Generators, Electric Utilities",Natural Gas,"4,240"
2019,1,MA,"Electric Generators, Electric Utilities",Other,0
2019,1,MA,"Electric Generators, Electric Utilities",Petroleum,"1,786"
2019,1,MA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"4,553"
