YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2019	1	MA	Total Electric Power Industry	Total	2383090
2019	1	MA	Total Electric Power Industry	Coal	0
2019	1	MA	Total Electric Power Industry	Pumped Storage	-37687
2019	1	MA	Total Electric Power Industry	Hydroelectric Conventional	113416
2019	1	MA	Total Electric Power Industry	Natural Gas	1554410
2019	1	MA	Total Electric Power Industry	Nuclear	450438
2019	1	MA	Total Electric Power Industry	Other	83380
2019	1	MA	Total Electric Power Industry	Petroleum	40290
2019	1	MA	Total Electric Power Industry	Solar Thermal and Photovoltaic	63723
2019	1	MA	Total Electric Power Industry	Other Biomass	83028
2019	1	MA	Total Electric Power Industry	Wind	20349
2019	1	MA	Total Electric Power Industry	Wood and Wood Derived Fuels	11743
2019	1	MA	Combined Heat and Power, Industrial Power	Total	24668
2019	1	MA	Combined Heat and Power, Industrial Power	Coal	0
2019	1	MA	Combined Heat and Power, Industrial Power	Natural Gas	23486
2019	1	MA	Combined Heat and Power, Industrial Power	Other	0
2019	1	MA	Combined Heat and Power, Industrial Power	Petroleum	730
2019	1	MA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	230
2019	1	MA	Combined Heat and Power, Industrial Power	Wind	222
2019	1	MA	Combined Heat and Power, Commercial Power	Total	59168
2019	1	MA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	463
2019	1	MA	Combined Heat and Power, Commercial Power	Natural Gas	51979
2019	1	MA	Combined Heat and Power, Commercial Power	Petroleum	1005
2019	1	MA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	401
2019	1	MA	Combined Heat and Power, Commercial Power	Other Biomass	2334
2019	1	MA	Combined Heat and Power, Commercial Power	Wind	2986
2019	1	MA	Combined Heat and Power, Electric Power	Total	164112
2019	1	MA	Combined Heat and Power, Electric Power	Natural Gas	163841
2019	1	MA	Combined Heat and Power, Electric Power	Petroleum	271
2019	1	MA	Electric Generators, Independent Power Producers	Total	2089797
2019	1	MA	Electric Generators, Independent Power Producers	Coal	0
2019	1	MA	Electric Generators, Independent Power Producers	Pumped Storage	-37687
2019	1	MA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	83359
2019	1	MA	Electric Generators, Independent Power Producers	Natural Gas	1310864
2019	1	MA	Electric Generators, Independent Power Producers	Nuclear	450438
2019	1	MA	Electric Generators, Independent Power Producers	Other	83380
2019	1	MA	Electric Generators, Independent Power Producers	Petroleum	36498
2019	1	MA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	58539
2019	1	MA	Electric Generators, Independent Power Producers	Other Biomass	80693
2019	1	MA	Electric Generators, Independent Power Producers	Wind	11970
2019	1	MA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	11743
2019	1	MA	Electric Generators, Electric Utilities	Total	45344
2019	1	MA	Electric Generators, Electric Utilities	Hydroelectric Conventional	29594
2019	1	MA	Electric Generators, Electric Utilities	Natural Gas	4240
2019	1	MA	Electric Generators, Electric Utilities	Other	0
2019	1	MA	Electric Generators, Electric Utilities	Petroleum	1786
2019	1	MA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	4553
2019	1	MA	Electric Generators, Electric Utilities	Wind	5171
2019	2	MA	Total Electric Power Industry	Total	2116702
2019	2	MA	Total Electric Power Industry	Coal	0
2019	2	MA	Total Electric Power Industry	Pumped Storage	-29180
2019	2	MA	Total Electric Power Industry	Hydroelectric Conventional	92307
